Rainfallmm,Month,Year
111.4,Jan,1910
126.1,Feb,1910
49.9,Mar,1910
95.3,Apr,1910
71.8,May,1910
70.2,Jun,1910
97.1,Jul,1910
140.2,Aug,1910
27,Sep,1910
89.4,Oct,1910
128.4,Nov,1910
142.2,Dec,1910
59.2,Jan,1911
99.7,Feb,1911
62.1,Mar,1911
69,Apr,1911
52.2,May,1911
77,Jun,1911
43.3,Jul,1911
69.3,Aug,1911
69.4,Sep,1911
91.5,Oct,1911
141.3,Nov,1911
188.4,Dec,1911
111.7,Jan,1912
79.5,Feb,1912
128.2,Mar,1912
36.1,Apr,1912
58.2,May,1912
124.5,Jun,1912
92.3,Jul,1912
167.6,Aug,1912
57.1,Sep,1912
116.2,Oct,1912
106.9,Nov,1912
163.7,Dec,1912
123.4,Jan,1913
57.1,Feb,1913
131.2,Mar,1913
102.9,Apr,1913
81.5,May,1913
63.8,Jun,1913
33.7,Jul,1913
44.5,Aug,1913
73.7,Sep,1913
103,Oct,1913
125.9,Nov,1913
86.6,Dec,1913
78.8,Jan,1914
114.9,Feb,1914
124.3,Mar,1914
52.3,Apr,1914
59.6,May,1914
52.5,Jun,1914
94.4,Jul,1914
80.1,Aug,1914
57.2,Sep,1914
61.8,Oct,1914
139.3,Nov,1914
203.3,Dec,1914
118.7,Jan,1915
141.1,Feb,1915
55,Mar,1915
65.9,Apr,1915
53.2,May,1915
37.7,Jun,1915
124.7,Jul,1915
81.6,Aug,1915
54.9,Sep,1915
74.5,Oct,1915
84.7,Nov,1915
183.8,Dec,1915
108.9,Jan,1916
140.3,Feb,1916
88.3,Mar,1916
70.2,Apr,1916
93,May,1916
71.4,Jun,1916
73.3,Jul,1916
92,Aug,1916
54.8,Sep,1916
173.5,Oct,1916
129.6,Nov,1916
107.1,Dec,1916
73.6,Jan,1917
33.8,Feb,1917
74.2,Mar,1917
63.6,Apr,1917
69.2,May,1917
73.5,Jun,1917
61,Jul,1917
166.7,Aug,1917
76,Sep,1917
168,Oct,1917
121.4,Nov,1917
61.5,Dec,1917
105.2,Jan,1918
106.3,Feb,1918
42.9,Mar,1918
49.6,Apr,1918
65,May,1918
42.4,Jun,1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.8,,1974
120.4,Jul,1918
84.4,Aug,1918
182.2,Sep,1918
106.6,Oct,1918
97.6,Nov,1918
134.4,Dec,1918
120.1,Jan,1919
59.8,Feb,1919
118.4,Mar,1919
80.9,Apr,1919
29.8,May,1919
64.9,Jun,1919
50.1,Jul,1919
90.3,Aug,1919
82.4,Sep,1919
70.4,Oct,1919
100.9,Nov,1919
166.5,Dec,1919
139.7,Jan,1920
96.1,Feb,1920
109.6,Mar,1920
106.1,Apr,1920
94.4,May,1920
58.7,Jun,1920
123.5,Jul,1920
70.4,Aug,1920
78.9,Sep,1920
75.7,Oct,1920
82.2,Nov,1920
104.6,Dec,1920
149.3,Jan,1921
24.1,Feb,1921
103.9,Mar,1921
38.9,Apr,1921
62.8,May,1921
17.7,Jun,1921
59.6,Jul,1921
109.7,Aug,1921
53.5,Sep,1921
82.5,Oct,1921
72.7,Nov,1921
130.6,Dec,1921
124.1,Jan,1922
114.7,Feb,1922
72.4,Mar,1922
86.1,Apr,1922
63.4,May,1922
52.4,Jun,1922
117.6,Jul,1922
99.5,Aug,1922
79.9,Sep,1922
46.9,Oct,1922
66.5,Nov,1922
127.3,Dec,1922
104.5,Jan,1923
152.6,Feb,1923
51.1,Mar,1923
79.1,Apr,1923
78.4,May,1923
35.7,Jun,1923
91.5,Jul,1923
128.5,Aug,1923
112.6,Sep,1923
157.8,Oct,1923
112.8,Nov,1923
115.5,Dec,1923
103.9,Jan,1924
39,Feb,1924
37.3,Mar,1924
75.7,Apr,1924
121.6,May,1924
71.9,Jun,1924
122.6,Jul,1924
113,Aug,1924
133.3,Sep,1924
122.8,Oct,1924
83.2,Nov,1924
153.6,Dec,1924
100.5,Jan,1925
136.4,Feb,1925
50.9,Mar,1925
92.4,Apr,1925
120.3,May,1925
14.2,Jun,1925
73,Jul,1925
85.7,Aug,1925
103.5,Sep,1925
111.5,Oct,1925
64.9,Nov,1925
109.1,Dec,1925
137,Jan,1926
94.4,Feb,1926
60,Mar,1926
71.2,Apr,1926
74.2,May,1926
77.1,Jun,1926
78.5,Jul,1926
86.2,Aug,1926
81.1,Sep,1926
117.1,Oct,1926
165.1,Nov,1926
52.5,Dec,1926
128.8,Jan,1927
76.5,Feb,1927
91.9,Mar,1927
80.8,Apr,1927
51.3,May,1927
106.8,Jun,1927
97.4,Jul,1927
132.9,Aug,1927
157.2,Sep,1927
111.1,Oct,1927
117,Nov,1927
65.5,Dec,1927
205.1,Jan,1928
104.9,Feb,1928
94.3,Mar,1928
48.2,Apr,1928
40.7,May,1928
109.9,Jun,1928
70.9,Jul,1928
109.6,Aug,1928
63.2,Sep,1928
159.3,Oct,1928
145.9,Nov,1928
106.5,Dec,1928
48.5,Jan,1929
37.9,Feb,1929
17,Mar,1929
40.9,Apr,1929
70.2,May,1929
61.3,Jun,1929
81.6,Jul,1929
106.5,Aug,1929
46.8,Sep,1929
152,Oct,1929
188,Nov,1929
213,Dec,1929
153,Jan,1930
23.7,Feb,1930
71.9,Mar,1930
68,Apr,1930
60,May,1930
54.6,Jun,1930
102.6,Jul,1930
138.1,Aug,1930
113.8,Sep,1930
136.7,Oct,1930
143,Nov,1930
114.9,Dec,1930
107.5,Jan,1931
100.3,Feb,1931
28.1,Mar,1931
87.2,Apr,1931
97.3,May,1931
112,Jun,1931
117.3,Jul,1931
98.4,Aug,1931
65,Sep,1931
64.2,Oct,1931
154.8,Nov,1931
82.9,Dec,1931
138.9,Jan,1932
8.8,Feb,1932
70.8,Mar,1932
99.9,Apr,1932
107.9,May,1932
35.5,Jun,1932
110.6,Jul,1932
59.6,Aug,1932
109.9,Sep,1932
171.5,Oct,1932
91.5,Nov,1932
100.1,Dec,1932
96.2,Jan,1933
105.4,Feb,1933
73.3,Mar,1933
55.5,Apr,1933
54.9,May,1933
61.1,Jun,1933
77.6,Jul,1933
57,Aug,1933
46.9,Sep,1933
119.6,Oct,1933
55.6,Nov,1933
32.4,Dec,1933
114.1,Jan,1934
21.5,Feb,1934
80.4,Mar,1934
96.8,Apr,1934
64.3,May,1934
50,Jun,1934
66.7,Jul,1934
101.8,Aug,1934
99.2,Sep,1934
127.3,Oct,1934
56.9,Nov,1934
177.1,Dec,1934
63.8,Jan,1935
122.4,Feb,1935
43.4,Mar,1935
100.6,Apr,1935
33.7,May,1935
101.6,Jun,1935
39.5,Jul,1935
74.1,Aug,1935
152.8,Sep,1935
173.4,Oct,1935
144.5,Nov,1935
93.5,Dec,1935
126.3,Jan,1936
74.9,Feb,1936
64.6,Mar,1936
48.1,Apr,1936
37.8,May,1936
81,Jun,1936
143,Jul,1936
52.4,Aug,1936
101.3,Sep,1936
